State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G
1997_MN,MN,1997,6304977,6890773,265896,853621
1997_MS,MS,1997,2274700,2319324,133301,504792
1997_MO,MO,1997,5550134,5527705,258082,910613
1997_MT,MT,1997,989991,972059,50288,162335
1997_NE,NE,1997,1994021,1946725,90997,292681
1997_NV,NV,1997,1701290,1905940,77801,296621
1997_NH,NH,1997,1339186,1431472,56301,201629
1997_NJ,NJ,1997,12910890,13242022,306327,1250276
1997_NM,NM,1997,1768148,1826524,96080,331673
1997_NY,NY,1997,26775074,28227561,776218,2861823
1997_NC,NC,1997,6827952,7007690,329647,1236083
1997_ND,ND,1997,683331,679692,38242,118572
1997_OH,OH,1997,12630491,12421963,547865,1847114
1997_OK,OK,1997,3413742,3390894,177929,623681
1997_OR,OR,1997,3477420,3792572,159559,541346
1997_PA,PA,1997,15184431,15777276,535069,1815151
1997_RI,RI,1997,1185534,1175638,41373,153321
1997_SC,SC,1997,3874045,3921465,186592,659273
1997_SD,SD,1997,747462,711052,44300,142443
1997_TN,TN,1997,4390879,4695409,239659,893044
1997_TX,TX,1997,23091567,23671010,1059416,3891877
1997_UT,UT,1997,2187279,2178778,149227,482957
1997_VT,VT,1997,1022546,1069297,30836,105984
1997_VA,VA,1997,7345090,7436340,303531,1110815
1997_WA,WA,1997,6667626,6792261,296744,991235
1997_WV,WV,1997,2053981,2018185,94012,301419
1997_WI,WI,1997,6724752,6990489,278072,881780
1997_WY,WY,1997,660079,695127,31388,97115
1998_AL,AL,1998,4140537,4245033,205630,747980
1998_AK,AK,1998,1206195,1222893,38394,135373
1998_AZ,AZ,1998,4675296,4726098,224867,848262
1998_AR,AR,1998,2567380,2536027,132507,452256
1998_CA,CA,1998,39183018,38087666,1627284,5926037
1998_CO,CO,1998,4359021,4739136,197136,699135
1998_CT,CT,1998,5024673,4810851,145317,544698
1998_DE,DE,1998,934530,915207,33307,113262
1998_DC,DC,1998,706938,716740,13932,71889
1998_FL,FL,1998,15595671,15155383,633609,2337633
1998_GA,GA,1998,9207163,8990897,371905,1401291
1998_HI,HI,1998,1279125,1266378,53338,188069
1998_ID,ID,1998,1310960,1342719,76118,244722
1998_IL,IL,1998,14688777,15207067,558505,2011530
1998_IN,IN,1998,7656749,7649103,289486,989001
1998_IA,IA,1998,3589705,3650286,155834,498214
1998_KS,KS,1998,3207670,3087318,142094,472353
1998_KY,KY,1998,3938009,4018512,188371,655687
1998_LA,LA,1998,4443468,4379797,205393,768734
1998_ME,ME,1998,1611926,1601411,58917,211051
1998_MD,MD,1998,6521269,6519389,231534,841671
1998_MA,MA,1998,7726497,8098720,257693,962317
