State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_9_12_G,GRADES_ALL_G
1995_AR,AR,1995,2057550.0,2155067.0,0.0,453257.0
1995_CA,CA,1995,29512214.0,30097549.0,0.0,5536406.0
1995_CO,CO,1995,3709875.0,3766191.0,0.0,656279.0
1995_CT,CT,1995,4420632.0,4252186.0,0.0,517935.0
1995_DE,DE,1995,802018.0,772669.0,0.0,108461.0
1995_DC,DC,1995,700111.0,708224.0,0.0,79802.0
1995_FL,FL,1995,13242710.0,13473977.0,0.0,2176222.0
1995_GA,GA,1995,7052825.0,7292267.0,0.0,1311126.0
1995_HI,HI,1995,1173579.0,1157159.0,0.0,187180.0
1995_ID,ID,1995,1083215.0,1108075.0,0.0,243097.0
1995_IL,IL,1995,12236673.0,11821661.0,0.0,1943623.0
1995_IN,IN,1995,6514934.0,6377558.0,0.0,977263.0
1995_IA,IA,1995,3076971.0,3100772.0,0.0,502343.0
1995_KS,KS,1995,2826943.0,2756682.0,0.0,463008.0
1995_KY,KY,1995,3508673.0,3415870.0,0.0,659821.0
1995_LA,LA,1995,3791795.0,3735603.0,0.0,797366.0
1995_ME,ME,1995,1446745.0,1438795.0,0.0,213569.0
1995_MD,MD,1995,5580123.0,5610071.0,0.0,805544.0
1995_MA,MA,1995,7326904.0,6706082.0,0.0,915007.0
1995_MI,MI,1995,12500208.0,12477806.0,0.0,1641456.0
1995_MN,MN,1995,5744447.0,6155324.0,0.0,835166.0
1995_MS,MS,1995,2118973.0,2160068.0,0.0,506272.0
1995_MO,MO,1995,4852467.0,4957215.0,0.0,889881.0
1995_MT,MT,1995,911284.0,899635.0,0.0,165547.0
1995_NE,NE,1995,1832463.0,1874253.0,0.0,289744.0
1995_NV,NV,1995,1367710.0,1381200.0,0.0,265041.0
1995_NH,NH,1995,1197945.0,1232465.0,0.0,194171.0
1995_NJ,NJ,1995,11870183.0,11961696.0,0.0,1197381.0
1995_NM,NM,1995,1646265.0,1540683.0,0.0,329640.0
1995_NY,NY,1995,25063999.0,26540967.0,0.0,2813230.0
1995_NC,NC,1995,6076939.0,6217951.0,0.0,1183090.0
1995_ND,ND,1995,642234.0,621904.0,0.0,119100.0
1995_OH,OH,1995,11368650.0,11330046.0,0.0,1836015.0
1995_OK,OK,1995,3156526.0,3180275.0,0.0,616393.0
1995_OR,OR,1995,3302062.0,3255984.0,0.0,527914.0
1995_PA,PA,1995,13957035.0,14135826.0,0.0,1787533.0
1995_RI,RI,1995,1089859.0,1056716.0,0.0,149799.0
1995_SC,SC,1995,3389646.0,3286673.0,0.0,645586.0
1995_SD,SD,1995,684882.0,693964.0,0.0,144685.0
1995_TN,TN,1995,3870164.0,3958973.0,0.0,893770.0
1995_TX,TX,1995,20483376.0,20198924.0,0.0,3748167.0
1995_UT,UT,1995,1953833.0,2045331.0,0.0,477121.0
1995_VT,VT,1995,934916.0,891398.0,0.0,105565.0
1995_VA,VA,1995,6354418.0,6590998.0,0.0,1079854.0
1995_WA,WA,1995,5985425.0,6200754.0,0.0,956572.0
1995_WV,WV,1995,1916605.0,1925100.0,0.0,307112.0
1995_WI,WI,1995,6006745.0,6056854.0,0.0,870175.0
1995_WY,WY,1995,634237.0,642935.0,0.0,99859.0
1996_AL,AL,1996,3365113.0,3572283.0,0.0,747932.0
1996_AK,AK,1996,1120346.0,1240031.0,0.0,129919.0
1996_AZ,AZ,1996,4143304.0,4391555.0,0.0,799250.0
1996_AR,AR,1996,2183384.0,2297381.0,0.0,457349.0
1996_CA,CA,1996,31282981.0,31561692.0,0.0,5686198.0
1996_CO,CO,1996,3891203.0,4075165.0,0.0,673438.0
1996_CT,CT,1996,4686025.0,4538234.0,0.0,527129.0
1996_DE,DE,1996,860410.0,823530.0,0.0,110549.0
1996_DC,DC,1996,678874.0,703245.0,0.0,78648.0
1996_FL,FL,1996,13684457.0,13936240.0,0.0,2242212.0
1996_GA,GA,1996,7764687.0,7934236.0,0.0,1346761.0
1996_HI,HI,1996,1199019.0,1231550.0,0.0,187653.0
1996_ID,ID,1996,1134052.0,1198223.0,0.0,245252.0
1996_IL,IL,1996,12732129.0,12423100.0,0.0,1973040.0
1996_IN,IN,1996,6422662.0,6644035.0,0.0,982876.0
1996_IA,IA,1996,3258040.0,3284185.0,0.0,502941.0
1996_KS,KS,1996,2914544.0,3007653.0,0.0,466293.0
1996_KY,KY,1996,3622788.0,3826435.0,0.0,656089.0
1996_LA,LA,1996,3879633.0,3815375.0,0.0,793296.0
1996_ME,ME,1996,1485138.0,1465093.0,0.0,213593.0
1996_MD,MD,1996,5688918.0,5825606.0,0.0,818583.0
1996_MA,MA,1996,7129757.0,7479576.0,0.0,933898.0
1996_MI,MI,1996,13012080.0,13071893.0,0.0,1685714.0
1996_MN,MN,1996,6101416.0,6423285.0,0.0,847204.0
1996_MS,MS,1996,2241561.0,2268726.0,0.0,503967.0
1996_MO,MO,1996,5251014.0,5277785.0,0.0,900517.0
1996_MT,MT,1996,944623.0,924259.0,0.0,164627.0
1996_NE,NE,1996,1909834.0,1940808.0,0.0,291967.0
1996_NV,NV,1996,1551169.0,1608989.0,0.0,282131.0
1996_NH,NH,1996,1269380.0,1295106.0,0.0,198308.0
1996_NJ,NJ,1996,12389781.0,12469216.0,0.0,1227832.0
1996_NM,NM,1996,1750519.0,1642517.0,0.0,332632.0
1996_NY,NY,1996,26026366.0,26974514.0,0.0,2843131.0
1996_NC,NC,1996,6516400.0,6517111.0,0.0,1210108.0
1996_ND,ND,1996,655971.0,657809.0,0.0,120123.0
1996_OH,OH,1996,12172778.0,11935582.0,0.0,1844698.0
1996_OK,OK,1996,3185234.0,3195426.0,0.0,620695.0
1996_OR,OR,1996,3375710.0,3509765.0,0.0,537854.0
1996_PA,PA,1996,14671368.0,15048791.0,0.0,1804256.0
1996_RI,RI,1996,1135192.0,1092459.0,0.0,151324.0
1996_SC,SC,1996,3594408.0,3493720.0,0.0,652816.0
1996_SD,SD,1996,710728.0,689818.0,0.0,143331.0
1996_TN,TN,1996,4123018.0,4284181.0,0.0,904818.0
1996_TX,TX,1996,22241369.0,22401797.0,0.0,3828975.0
1996_UT,UT,1996,2035726.0,2150719.0,0.0,481812.0
1996_VT,VT,1996,965238.0,975817.0,0.0,106341.0
1996_VA,VA,1996,6674519.0,6903384.0,0.0,1096093.0
1996_WA,WA,1996,6354593.0,6578388.0,0.0,974504.0
1996_WV,WV,1996,1958647.0,1936848.0,0.0,304052.0
1996_WI,WI,1996,6342623.0,6521058.0,0.0,879259.0
1996_WY,WY,1996,664057.0,676305.0,0.0,99058.0
1997_AL,AL,1997,3981788.0,3963624.0,208148.0,749207.0
1997_AK,AK,1997,1131950.0,1237103.0,36474.0,132123.0
1997_AZ,AZ,1997,4343262.0,4432360.0,217764.0,814113.0
1997_AR,AR,1997,2355859.0,2379496.0,133449.0,456497.0
1997_CA,CA,1997,35614934.0,33862281.0,1578929.0,5803887.0
1997_CO,CO,1997,4133275.0,4398196.0,192259.0,687167.0
1997_CT,CT,1997,4788489.0,4642835.0,140872.0,535164.0
1997_DE,DE,1997,898926.0,889631.0,33188.0,111960.0
1997_DC,DC,1997,711625.0,686059.0,15896.0,77111.0
1997_FL,FL,1997,14363709.0,14564750.0,613761.0,2294077.0
1997_GA,GA,1997,8248199.0,8483477.0,365429.0,1375980.0
1997_HI,HI,1997,1213792.0,1241375.0,53448.0,189887.0
1997_ID,ID,1997,1200186.0,1293705.0,75579.0,244403.0
1997_IL,IL,1997,13929105.0,13920593.0,558129.0,1998289.0
1997_IN,IN,1997,7885141.0,7325086.0,291854.0,986836.0
1997_IA,IA,1997,3406582.0,3485339.0,155528.0,501054.0
1997_KS,KS,1997,3029537.0,2949608.0,140182.0,468687.0
1997_KY,KY,1997,3842885.0,3903139.0,192093.0,669322.0
1997_LA,LA,1997,4106095.0,4027228.0,207966.0,776813.0
1997_ME,ME,1997,1537085.0,1527663.0,58543.0,212579.0
1997_MD,MD,1997,6040883.0,6217120.0,221995.0,830744.0
1997_MA,MA,1997,7585624.0,7479407.0,252519.0,949006.0
1997_MI,MI,1997,13759710.0,14235902.0,441403.0,1702717.0
1997_MN,MN,1997,6304977.0,6890773.0,265896.0,853621.0
1997_MS,MS,1997,2274700.0,2319324.0,133301.0,504792.0
1997_MO,MO,1997,5550134.0,5527705.0,258082.0,910613.0
1997_MT,MT,1997,989991.0,972059.0,50288.0,162335.0
1997_NE,NE,1997,1994021.0,1946725.0,90997.0,292681.0
1997_NV,NV,1997,1701290.0,1905940.0,77801.0,296621.0
1997_NH,NH,1997,1339186.0,1431472.0,56301.0,201629.0
1997_NJ,NJ,1997,12910890.0,13242022.0,306327.0,1250276.0
1997_NM,NM,1997,1768148.0,1826524.0,96080.0,331673.0
1997_NY,NY,1997,26775074.0,28227561.0,776218.0,2861823.0
1997_NC,NC,1997,6827952.0,7007690.0,329647.0,1236083.0
1997_ND,ND,1997,683331.0,679692.0,38242.0,118572.0
1997_OH,OH,1997,12630491.0,12421963.0,547865.0,1847114.0
1997_OK,OK,1997,3413742.0,3390894.0,177929.0,623681.0
1997_OR,OR,1997,3477420.0,3792572.0,159559.0,541346.0
1997_PA,PA,1997,15184431.0,15777276.0,535069.0,1815151.0
1997_RI,RI,1997,1185534.0,1175638.0,41373.0,153321.0
1997_SC,SC,1997,3874045.0,3921465.0,186592.0,659273.0
1997_SD,SD,1997,747462.0,711052.0,44300.0,142443.0
1997_TN,TN,1997,4390879.0,4695409.0,239659.0,893044.0
1997_TX,TX,1997,23091567.0,23671010.0,1059416.0,3891877.0
1997_UT,UT,1997,2187279.0,2178778.0,149227.0,482957.0
1997_VT,VT,1997,1022546.0,1069297.0,30836.0,105984.0
1997_VA,VA,1997,7345090.0,7436340.0,303531.0,1110815.0
1997_WA,WA,1997,6667626.0,6792261.0,296744.0,991235.0
1997_WV,WV,1997,2053981.0,2018185.0,94012.0,301419.0
1997_WI,WI,1997,6724752.0,6990489.0,278072.0,881780.0
1997_WY,WY,1997,660079.0,695127.0,31388.0,97115.0
1998_AL,AL,1998,4140537.0,4245033.0,205630.0,747980.0
1998_AK,AK,1998,1206195.0,1222893.0,38394.0,135373.0
1998_AZ,AZ,1998,4675296.0,4726098.0,224867.0,848262.0
1998_AR,AR,1998,2567380.0,2536027.0,132507.0,452256.0
1998_CA,CA,1998,39183018.0,38087666.0,1627284.0,5926037.0
1998_CO,CO,1998,4359021.0,4739136.0,197136.0,699135.0
1998_CT,CT,1998,5024673.0,4810851.0,145317.0,544698.0
1998_DE,DE,1998,934530.0,915207.0,33307.0,113262.0
1998_DC,DC,1998,706938.0,716740.0,13932.0,71889.0
1998_FL,FL,1998,15595671.0,15155383.0,633609.0,2337633.0
1998_GA,GA,1998,9207163.0,8990897.0,371905.0,1401291.0
1998_HI,HI,1998,1279125.0,1266378.0,53338.0,188069.0
1998_ID,ID,1998,1310960.0,1342719.0,76118.0,244722.0
1998_IL,IL,1998,14688777.0,15207067.0,558505.0,2011530.0
1998_IN,IN,1998,7656749.0,7649103.0,289486.0,989001.0
1998_IA,IA,1998,3589705.0,3650286.0,155834.0,498214.0
1998_KS,KS,1998,3207670.0,3087318.0,142094.0,472353.0
1998_KY,KY,1998,3938009.0,4018512.0,188371.0,655687.0
1998_LA,LA,1998,4443468.0,4379797.0,205393.0,768734.0
1998_ME,ME,1998,1611926.0,1601411.0,58917.0,211051.0
1998_MD,MD,1998,6521269.0,6519389.0,231534.0,841671.0
1998_MA,MA,1998,7726497.0,8098720.0,257693.0,962317.0
1998_MI,MI,1998,14712250.0,14905765.0,448867.0,1720287.0
1998_MN,MN,1998,6672384.0,6815289.0,269736.0,856455.0
1998_MS,MS,1998,2400660.0,2543454.0,130815.0,502379.0
1998_MO,MO,1998,5990499.0,5849648.0,259990.0,913494.0
1998_MT,MT,1998,1035636.0,1007146.0,50348.0,159988.0
1998_NE,NE,1998,2062836.0,1966403.0,91386.0,291140.0
1998_NV,NV,1998,1906860.0,2030065.0,81767.0,311061.0
1998_NH,NH,1998,1420100.0,1428447.0,57924.0,204713.0
1998_NJ,NJ,1998,13786951.0,13973201.0,307945.0,1268996.0
1998_NM,NM,1998,1913783.0,1933538.0,96268.0,328753.0
1998_NY,NY,1998,27900803.0,29853891.0,774469.0,2877143.0
1998_NC,NC,1998,7516979.0,7688076.0,333983.0,1254821.0
1998_ND,ND,1998,731384.0,715126.0,38001.0,114927.0
1998_OH,OH,1998,13577343.0,13005301.0,541138.0,1842163.0
1998_OK,OK,1998,3559980.0,3617938.0,179642.0,628492.0
1998_OR,OR,1998,3892091.0,3939722.0,162272.0,542809.0
1998_PA,PA,1998,15671363.0,16432921.0,535400.0,1816414.0
1998_RI,RI,1998,1255280.0,1221558.0,42113.0,154785.0
1998_SC,SC,1998,4109130.0,4241163.0,186742.0,664600.0
1998_SD,SD,1998,793101.0,781279.0,41546.0,132495.0
1998_TN,TN,1998,4757639.0,4988208.0,240872.0,905454.0
1998_TX,TX,1998,24485263.0,25723965.0,1077158.0,3945367.0
1998_UT,UT,1998,2295870.0,2326611.0,147857.0,481176.0
1998_VT,VT,1998,1089658.0,1064388.0,31522.0,105120.0
1998_VA,VA,1998,7723744.0,7813707.0,308627.0,1124022.0
1998_WA,WA,1998,6928738.0,7211601.0,302103.0,998053.0
1998_WV,WV,1998,2178936.0,2100841.0,91413.0,297530.0
1998_WI,WI,1998,7083655.0,7532110.0,278839.0,879542.0
1998_WY,WY,1998,703280.0,706801.0,31292.0,95241.0
1999_AL,AL,1999,4471546.0,4622810.0,202045.0,740732.0
1999_AK,AK,1999,1243227.0,1289988.0,38790.0,134391.0
1999_AZ,AZ,1999,5085826.0,5072471.0,228813.0,852612.0
1999_AR,AR,1999,2684966.0,2650808.0,132893.0,451034.0
1999_CA,CA,1999,41393435.0,40834643.0,1675778.0,6038590.0
1999_CO,CO,1999,4740254.0,5040224.0,200982.0,708109.0
1999_CT,CT,1999,5460213.0,5269517.0,150080.0,553993.0
1999_DE,DE,1999,1004472.0,960335.0,32562.0,112836.0
1999_DC,DC,1999,758072.0,738942.0,15849.0,77194.0
1999_FL,FL,1999,17093036.0,16156822.0,655903.0,2381396.0
1999_GA,GA,1999,10380164.0,10106670.0,378732.0,1422762.0
1999_HI,HI,1999,1328572.0,1357649.0,52565.0,185860.0
1999_ID,ID,1999,1405250.0,1409367.0,76314.0,245136.0
1999_IL,IL,1999,16208970.0,16783840.0,563940.0,2027600.0
1999_IN,IN,1999,8167164.0,8196714.0,287282.0,988702.0
1999_IA,IA,1999,3740509.0,3789049.0,155506.0,497301.0
1999_KS,KS,1999,3390596.0,3189867.0,143129.0,472188.0
1999_KY,KY,1999,4188131.0,4305678.0,186919.0,648180.0
1999_LA,LA,1999,4641847.0,4702496.0,205282.0,756579.0
1999_ME,ME,1999,1708133.0,1699835.0,59860.0,209253.0
1999_MD,MD,1999,6850334.0,6892276.0,236400.0,846582.0
1999_MA,MA,1999,8388120.0,8673439.0,265174.0,971425.0
1999_MI,MI,1999,15248112.0,15837858.0,454253.0,1725639.0
