State_Year,Year,State,Homeless_Count
2010_ID,2010,ID,9606
2010_IL,2010,IL,61840
2010_IN,2010,IN,27358
2010_KS,2010,KS,7562
2010_KY,2010,KY,27882
2010_LA,2010,LA,59558
2010_MA,2010,MA,70598
2010_MD,2010,MD,47738
2010_ME,2010,ME,9968
2010_MI,2010,MI,55880
2010_MN,2010,MN,34456
2010_MO,2010,MO,35978
2010_MS,2010,MS,11686
2010_MT,2010,MT,6750
2010_NC,2010,NC,51722
2010_ND,2010,ND,3324
2010_NE,2010,NE,16578
2010_NH,2010,NH,6948
2010_NJ,2010,NJ,56702
2010_NM,2010,NM,15458
2010_NV,2010,NV,47650
2010_NY,2010,NY,270942
2010_OH,2010,OH,54756
2010_OK,2010,OK,22156
2010_OR,2010,OR,83170
2010_PA,2010,PA,61112
2010_PR,2010,PR,21032
2010_RI,2010,RI,5300
2010_SC,2010,SC,19240
2010_SD,2010,SD,3142
2010_TN,2010,TN,46094
2010_TX,2010,TX,153508
2010_UT,2010,UT,13948
2010_VA,2010,VA,39340
2010_VI,2010,VI,2718
2010_VT,2010,VT,5146
2010_WA,2010,WA,95724
2010_WI,2010,WI,26786
2010_WV,2010,WV,10088
2010_WY,2010,WY,2518
2011_AK,2011,AK,10100
2011_AL,2011,AL,28006
2011_AR,2011,AR,16946
2011_AZ,2011,AZ,54204
2011_CA,2011,CA,672434
2011_CO,2011,CO,70592
2011_CT,2011,CT,23106
2011_DC,2011,DC,37250
2011_DE,2011,DE,4530
2011_FL,2011,FL,284588
2011_GA,2011,GA,106710
2011_GU,2011,GU,8526
2011_HI,2011,HI,29502
2011_IA,2011,IA,14474
2011_ID,2011,ID,10528
2011_IL,2011,IL,68450
2011_IN,2011,IN,28620
2011_KS,2011,KS,11158
2011_KY,2011,KY,28544
2011_LA,2011,LA,56796
2011_MA,2011,MA,77436
2011_MD,2011,MD,49424
2011_ME,2011,ME,10890
2011_MI,2011,MI,61714
2011_MN,2011,MN,38326
2011_MO,2011,MO,44338
2011_MS,2011,MS,11518
2011_MT,2011,MT,8870
2011_NC,2011,NC,59984
2011_ND,2011,ND,2960
2011_NE,2011,NE,16820
2011_NH,2011,NH,7032
2011_NJ,2011,NJ,61990
2011_NM,2011,NM,19600
2011_NV,2011,NV,44492
2011_NY,2011,NY,282142
2011_OH,2011,OH,62734
2011_OK,2011,OK,22384
2011_OR,2011,OR,86920
2011_PA,2011,PA,70044
2011_PR,2011,PR,26130
2011_RI,2011,RI,5230
2011_SC,2011,SC,24176
2011_SD,2011,SD,3658
2011_TN,2011,TN,45410
2011_TX,2011,TX,190318
2011_UT,2011,UT,14742
2011_VA,2011,VA,43698
2011_VI,2011,VI,2972
2011_VT,2011,VT,5194
2011_WA,2011,WA,94264
2011_WI,2011,WI,26342
2011_WV,2011,WV,10644
2011_WY,2011,WY,4734
2012_AK,2012,AK,9280
2012_AL,2012,AL,25764
2012_AR,2012,AR,19328
2012_AZ,2012,AZ,55744
2012_CA,2012,CA,643038
2012_CO,2012,CO,77868
2012_CT,2012,CT,21276
2012_DC,2012,DC,38138
2012_DE,2012,DE,4564
2012_FL,2012,FL,271558
2012_GA,2012,GA,102030
2012_GU,2012,GU,6170
2012_HI,2012,HI,29794
2012_IA,2012,IA,13374
2012_ID,2012,ID,9400
2012_IL,2012,IL,67694
2012_IN,2012,IN,28590
2012_KS,2012,KS,11786
2012_KY,2012,KY,24316
2012_LA,2012,LA,44458
2012_MA,2012,MA,80586
2012_MD,2012,MD,44678
2012_ME,2012,ME,10736
2012_MI,2012,MI,57882
2012_MN,2012,MN,38466
2012_MO,2012,MO,50454
2012_MS,2012,MS,12144
2012_MT,2012,MT,9530
2012_NC,2012,NC,63406
2012_ND,2012,ND,3416
2012_NE,2012,NE,17658
2012_NH,2012,NH,7334
2012_NJ,2012,NJ,57388
2012_NM,2012,NM,17958
2012_NV,2012,NV,43346
2012_NY,2012,NY,307774
2012_OH,2012,OH,66324
2012_OK,2012,OK,23212
2012_OR,2012,OR,79232
2012_PA,2012,PA,70280
2012_PR,2012,PR,26084
2012_RI,2012,RI,5916
2012_SC,2012,SC,22858
2012_SD,2012,SD,4236
2012_TN,2012,TN,49338
2012_TX,2012,TX,171536
2012_UT,2012,UT,16540
2012_VA,2012,VA,42042
2012_VI,2012,VI,2774
2012_VT,2012,VT,5770
2012_WA,2012,WA,93818
2012_WI,2012,WI,27134
2012_WV,2012,WV,11816
2012_WY,2012,WY,9682
2013_AK,2013,AK,8940
2013_AL,2013,AL,23210
2013_AR,2013,AR,18580
2013_AZ,2013,AZ,49444
2013_CA,2013,CA,632446
2013_CO,2013,CO,47506
2013_CT,2013,CT,22658
2013_DC,2013,DC,36566
2013_DE,2013,DE,4246
2013_FL,2013,FL,241046
2013_GA,2013,GA,83822
2013_GU,2013,GU,6308
2013_HI,2013,HI,31176
2013_IA,2013,IA,14102
2013_ID,2013,ID,8624
2013_IL,2013,IL,62530
2013_IN,2013,IN,28190
2013_KS,2013,KS,11256
2013_KY,2013,KY,24358
2013_LA,2013,LA,26514
2013_MA,2013,MA,87082
2013_MD,2013,MD,40086
2013_ME,2013,ME,13096
2013_MI,2013,MI,52732
2013_MN,2013,MN,38954
2013_MO,2013,MO,41926
2013_MS,2013,MS,11932
2013_MT,2013,MT,9038
2013_NC,2013,NC,58286
2013_ND,2013,ND,9474
2013_NE,2013,NE,14602
2013_NH,2013,NH,7058
2013_NJ,2013,NJ,54036
2013_NM,2013,NM,13862
2013_NV,2013,NV,32632
2013_NY,2013,NY,344306
2013_OH,2013,OH,58736
2013_OK,2013,OK,21382
2013_OR,2013,OR,70448
2013_PA,2013,PA,69992
2013_PR,2013,PR,25196
2013_RI,2013,RI,6734
2013_SC,2013,SC,29380
2013_SD,2013,SD,5494
2013_TN,2013,TN,48970
2013_TX,2013,TX,148356
2013_UT,2013,UT,15578
2013_VA,2013,VA,37362
2013_VI,2013,VI,2342
2013_VT,2013,VT,6940
2013_WA,2013,WA,82460
2013_WI,2013,WI,27604
2013_WV,2013,WV,11346
2013_WY,2013,WY,5062
2014_AK,2014,AK,8316
2014_AL,2014,AL,22244
2014_AR,2014,AR,14542
2014_AZ,2014,AZ,47532
2014_CA,2014,CA,604312
2014_CO,2014,CO,48102
2014_CT,2014,CT,23250
2014_DC,2014,DC,39920
2014_DE,2014,DE,4154
2014_FL,2014,FL,207228
2014_GA,2014,GA,80986
2014_GU,2014,GU,5764
2014_HI,2014,HI,34062
2014_IA,2014,IA,13868
2014_ID,2014,ID,9822
2014_IL,2014,IL,60848
2014_IN,2014,IN,27718
2014_KS,2014,KS,11836
2014_KY,2014,KY,24464
2014_LA,2014,LA,22402
2014_MA,2014,MA,100720
2014_MD,2014,MD,39692
2014_ME,2014,ME,12184
2014_MI,2014,MI,56324
2014_MN,2014,MN,39082
2014_MO,2014,MO,35782
2014_MS,2014,MS,10590
2014_MT,2014,MT,8572
2014_NC,2014,NC,54016
2014_ND,2014,ND,5794
2014_NE,2014,NE,14290
2014_NH,2014,NH,7198
2014_NJ,2014,NJ,53540
2014_NM,2014,NM,14456
2014_NV,2014,NV,39220
2014_NY,2014,NY,356292
2014_OH,2014,OH,55688
2014_OK,2014,OK,20264
2014_OR,2014,OR,62020
2014_PA,2014,PA,70582
2014_PR,2014,PR,24954
2014_RI,2014,RI,5792
2014_SC,2014,SC,22726
2014_SD,2014,SD,4276
2014_TN,2014,TN,48724
2014_TX,2014,TX,141080
2014_UT,2014,UT,14646
2014_VA,2014,VA,33404
2014_VI,2014,VI,2208
2014_VT,2014,VT,7608
2014_WA,2014,WA,86774
2014_WI,2014,WI,27356
2014_WV,2014,WV,10646
2014_WY,2014,WY,3836
2015_AK,2015,AK,9806
2015_AL,2015,AL,20338
2015_AR,2015,AR,14524
2015_AZ,2015,AZ,51024
2015_CA,2015,CA,661882
2015_CO,2015,CO,52620
2015_CT,2015,CT,19882
2015_DC,2015,DC,40520
2015_DE,2015,DE,4684
2015_FL,2015,FL,189254
2015_GA,2015,GA,69504
2015_GU,2015,GU,5874
2015_HI,2015,HI,39778
2015_IA,2015,IA,15328
2015_ID,2015,ID,10008
2015_IL,2015,IL,68584
2015_IN,2015,IN,30046
2015_KS,2015,KS,11740
2015_KY,2015,KY,22652
2015_LA,2015,LA,22210
2015_MA,2015,MA,104206
2015_MD,2015,MD,45286
2015_ME,2015,ME,11600
2015_MI,2015,MI,53686
2015_MN,2015,MN,41144
2015_MO,2015,MO,35066
2015_MS,2015,MS,9766
2015_MT,2015,MT,9012
2015_NC,2015,NC,53682
2015_ND,2015,ND,6692
2015_NE,2015,NE,14036
2015_NH,2015,NH,7908
2015_NJ,2015,NJ,52456
2015_NM,2015,NM,14944
2015_NV,2015,NV,48648
2015_NY,2015,NY,412672
2015_OH,2015,OH,56932
2015_OK,2015,OK,20358
2015_OR,2015,OR,78126
2015_PA,2015,PA,78154
2015_PR,2015,PR,26370
2015_RI,2015,RI,5594
2015_SC,2015,SC,28080
2015_SD,2015,SD,5498
2015_TN,2015,TN,48122
2015_TX,2015,TX,123526
2015_UT,2015,UT,14450
2015_VA,2015,VA,36054
2015_VI,2015,VI,1552
2015_VT,2015,VT,7604
2015_WA,2015,WA,97496
2015_WI,2015,WI,29836
2015_WV,2015,WV,10224
2015_WY,2015,WY,4060
2016_AK,2016,AK,9332
2016_AL,2016,AL,20100
2016_AR,2016,AR,13190
2016_AZ,2016,AZ,49880
2016_CA,2016,CA,668516
2016_CO,2016,CO,55552
2016_CT,2016,CT,18814
2016_DC,2016,DC,44816
2016_DE,2016,DE,5074
2016_FL,2016,FL,174246
2016_GA,2016,GA,64516
2016_GU,2016,GU,4692
2016_HI,2016,HI,42594
2016_IA,2016,IA,14774
2016_ID,2016,ID,11644
2016_IL,2016,IL,57524
2016_IN,2016,IN,28980
2016_KS,2016,KS,10008
2016_KY,2016,KY,20890
2016_LA,2016,LA,21046
2016_MA,2016,MA,94740
2016_MD,2016,MD,39480
2016_ME,2016,ME,11044
2016_MI,2016,MI,46678
2016_MN,2016,MN,38104
2016_MO,2016,MO,35318
2016_MS,2016,MS,8414
2016_MT,2016,MT,7082
2016_NC,2016,NC,47676
2016_ND,2016,ND,4788
2016_NE,2016,NE,13562
2016_NH,2016,NH,7404
2016_NJ,2016,NJ,43862
2016_NM,2016,NM,12930
2016_NV,2016,NV,39590
2016_NY,2016,NY,398450
2016_OH,2016,OH,50656
2016_OK,2016,OK,21908
2016_OR,2016,OR,75044
2016_PA,2016,PA,76154
2016_PR,2016,PR,25914
2016_RI,2016,RI,5796
2016_SC,2016,SC,27040
2016_SD,2016,SD,5138
2016_TN,2016,TN,46292
2016_TX,2016,TX,118182
2016_UT,2016,UT,13386
2016_VA,2016,VA,31262
2016_VI,2016,VI,1564
2016_VT,2016,VT,5762
2016_WA,2016,WA,103862
2016_WI,2016,WI,27656
2016_WV,2016,WV,7020
2016_WY,2016,WY,4184
