State_Year,STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G
1994_TN,TN,1994,3535898,3661470,10831,71413,67339,65598,49401,0,0,881425
1994_TX,TX,1994,19713604,19224149,128736,272065,291604,281109,183737,0,0,3677171
1994_UT,UT,1994,1792011,1846448,3273,33750,34837,37519,33337,0,0,474675
1994_VT,VT,1994,892124,869710,1903,8040,8396,7826,6458,0,0,104533
1994_VA,VA,1994,6125739,6276362,3115,85160,84103,79929,62899,0,0,1060809
1994_WA,WA,1994,5739012,5968590,6155,71637,75299,72982,58150,0,0,938314
1994_WV,WV,1994,1854403,1843973,2754,22377,22236,25200,22058,0,0,310511
1994_WI,WI,1994,5682439,5860230,18531,61898,65996,65790,57407,0,0,860581
1994_WY,WY,1994,674921,623146,0,6929,7982,8203,6642,0,0,100314
1995_AL,AL,1995,3367437,3353363,9324,59739,56486,59914,40981,0,0,746149
1995_AK,AK,1995,1117068,1203817,2419,10567,10222,9573,7111,0,0,127618
1995_AZ,AZ,1995,3815218,4056279,4027,61420,60202,56407,39197,0,0,743566
1995_AR,AR,1995,2057550,2155067,1525,36731,33955,36696,27083,0,0,453257
1995_CA,CA,1995,29512214,30097549,69182,472334,428553,399039,287428,0,0,5536406
1995_CO,CO,1995,3709875,3766191,10472,50316,52783,51180,35480,0,0,656279
1995_CT,CT,1995,4420632,4252186,8093,44148,41365,37320,28282,0,0,517935
1995_DE,DE,1995,802018,772669,670,7775,8527,8566,6211,0,0,108461
1995_DC,DC,1995,700111,708224,5387,7736,5852,4749,2972,0,0,79802
1995_FL,FL,1995,13242710,13473977,51123,176767,173169,163521,99519,0,0,2176222
1995_GA,GA,1995,7052825,7292267,22621,111462,103072,100091,63736,0,0,1311126
1995_HI,HI,1995,1173579,1157159,609,16562,14867,13793,10478,0,0,187180
1995_ID,ID,1995,1083215,1108075,1665,17750,17640,20129,16093,0,0,243097
1995_IL,IL,1995,12236673,11821661,45947,151485,142660,132678,107244,0,0,1943623
1995_IN,IN,1995,6514934,6377558,4901,73833,72356,78278,62659,0,0,977263
1995_IA,IA,1995,3076971,3100772,5957,37629,36431,38715,34565,0,0,502343
1995_KS,KS,1995,2826943,2756682,3209,33925,36004,36782,28491,0,0,463008
1995_KY,KY,1995,3508673,3415870,20290,45038,46834,50091,38797,0,0,659821
1995_LA,LA,1995,3791795,3735603,19440,61323,61315,57918,40663,0,0,797366
1995_ME,ME,1995,1446745,1438795,821,16826,17419,16771,12670,0,0,213569
1995_MD,MD,1995,5580123,5610071,19092,63232,62207,58835,42974,0,0,805544
1995_MA,MA,1995,7326904,6706082,14792,79163,71800,65724,51911,0,0,915007
1995_MI,MI,1995,12500208,12477806,8870,141238,122266,118996,87840,0,0,1641456
1995_MN,MN,1995,5744447,6155324,8340,63896,64545,65649,57793,0,0,835166
1995_MS,MS,1995,2118973,2160068,1083,39632,38004,39809,25741,0,0,506272
1995_MO,MO,1995,4852467,4957215,16225,68513,68159,66493,52939,0,0,889881
1995_MT,MT,1995,911284,899635,519,12214,12899,13342,10897,0,0,165547
1995_NE,NE,1995,1832463,1874253,3853,22282,21886,23016,19275,0,0,289744
1995_NV,NV,1995,1367710,1381200,1631,22074,21784,19970,14143,0,0,265041
1995_NH,NH,1995,1197945,1232465,1357,8859,16275,15487,10996,0,0,194171
1995_NJ,NJ,1995,11870183,11961696,9301,93978,88686,81997,65647,0,0,1197381
1995_NM,NM,1995,1646265,1540683,3426,24329,24200,25893,17078,0,0,329640
1995_NY,NY,1995,25063999,26540967,32087,216112,203089,194347,142841,0,0,2813230
1995_NC,NC,1995,6076939,6217951,9013,100525,90795,88056,59653,0,0,1183090
1995_ND,ND,1995,642234,621904,551,8573,9017,9859,8513,0,0,119100
1995_OH,OH,1995,11368650,11330046,18997,141589,138942,142469,114879,0,0,1836015
1995_OK,OK,1995,3156526,3180275,5470,48635,47407,49012,35733,0,0,616393
1995_OR,OR,1995,3302062,3255984,855,39875,41721,42141,33202,0,0,527914
1995_PA,PA,1995,13957035,14135826,3502,134584,137850,136069,111050,0,0,1787533
1995_RI,RI,1995,1089859,1056716,531,10947,11596,11032,8263,0,0,149799
1995_SC,SC,1995,3389646,3286673,8067,39964,50860,51308,34800,0,0,645586
1995_SD,SD,1995,684882,693964,1475,10609,10937,11654,9116,0,0,144685
1995_TN,TN,1995,3870164,3958973,11168,73962,67705,66513,49319,0,0,893770
1995_TX,TX,1995,20483376,20198924,133754,281708,292191,284875,186229,0,0,3748167
1995_UT,UT,1995,1953833,2045331,3455,34645,34598,38090,32006,0,0,477121
1995_VT,VT,1995,934916,891398,1111,7953,8287,8006,6507,0,0,105565
1995_VA,VA,1995,6354418,6590998,3111,87618,82797,81254,62204,0,0,1079854
1995_WA,WA,1995,5985425,6200754,5984,73581,75186,75052,59612,0,0,956572
1995_WV,WV,1995,1916605,1925100,3499,22577,22178,25089,21844,0,0,307112
1995_WI,WI,1995,6006745,6056854,18045,62859,65427,65788,57791,0,0,870175
1995_WY,WY,1995,634237,642935,0,7135,7577,8302,6679,0,0,99859
1996_AL,AL,1996,3365113,3572283,9633,60949,57098,58305,42510,0,0,747932
1996_AK,AK,1996,1120346,1240031,2186,10451,10055,9627,7370,0,0,129919
1996_AZ,AZ,1996,4143304,4391555,4495,64613,62793,60514,42041,0,0,799250
1996_AR,AR,1996,2183384,2297381,1980,36442,33855,37064,27613,0,0,457349
1996_CA,CA,1996,31282981,31561692,73233,469965,435217,406456,298669,0,0,5686198
1996_CO,CO,1996,3891203,4075165,12520,50707,52524,52269,37179,0,0,673438
1996_CT,CT,1996,4686025,4538234,9147,43213,41969,37991,28882,0,0,527129
1996_DE,DE,1996,860410,823530,597,8002,8329,8820,6447,0,0,110549
1996_DC,DC,1996,678874,703245,5044,7469,5442,4625,3042,0,0,78648
1996_FL,FL,1996,13684457,13936240,53979,176512,175240,169657,105469,0,0,2242212
1996_GA,GA,1996,7764687,7934236,25522,112385,105333,102355,65527,0,0,1346761
1996_HI,HI,1996,1199019,1231550,694,16129,14864,13786,10466,0,0,187653
1996_ID,ID,1996,1134052,1198223,1689,17562,18085,19998,17075,0,0,245252
1996_IL,IL,1996,12732129,12423100,50857,152268,145919,141348,123783,0,0,1973040
1996_IN,IN,1996,6422662,6644035,5263,74803,72246,76566,62923,0,0,982876
1996_IA,IA,1996,3258040,3284185,5042,37101,34918,38801,35650,0,0,502941
1996_KS,KS,1996,2914544,3007653,3723,32890,35077,37164,29244,0,0,466293
1996_KY,KY,1996,3622788,3826435,19428,46450,47018,49641,38460,0,0,656089
1996_LA,LA,1996,3879633,3815375,20066,61170,59082,57344,41759,0,0,793296
1996_ME,ME,1996,1485138,1465093,828,15864,16621,17124,12851,0,0,213593
1996_MD,MD,1996,5688918,5825606,19639,61856,63693,59236,44232,0,0,818583
1996_MA,MA,1996,7129757,7479576,15695,76519,73659,67029,52569,0,0,933898
1996_MI,MI,1996,13012080,13071893,16870,137096,127113,122686,95028,0,0,1685714
1996_MN,MN,1996,6101416,6423285,8902,62383,63024,65881,60413,0,0,847204
1996_MS,MS,1996,2241561,2268726,1052,39459,37315,38879,25711,0,0,503967
1996_MO,MO,1996,5251014,5277785,16156,69215,67533,69195,54488,0,0,900517
1996_MT,MT,1996,944623,924259,500,11757,12479,13183,11018,0,0,164627
1996_NE,NE,1996,1909834,1940808,4104,21874,21440,22912,19786,0,0,291967
1996_NV,NV,1996,1551169,1608989,1868,22875,22597,21041,15316,0,0,282131
1996_NH,NH,1996,1269380,1295106,1535,8569,16643,15738,11158,0,0,198308
1996_NJ,NJ,1996,12389781,12469216,9737,92831,91665,82728,67460,0,0,1227832
1996_NM,NM,1996,1750519,1642517,3894,24324,25029,26017,17073,0,0,332632
1996_NY,NY,1996,26026366,26974514,31566,210795,205572,196724,146738,0,0,2843131
1996_NC,NC,1996,6516400,6517111,8535,102435,94840,91793,61593,0,0,1210108
1996_ND,ND,1996,655971,657809,619,8464,8736,9943,8686,0,0,120123
1996_OH,OH,1996,12172778,11935582,21389,140234,137737,140248,117161,0,0,1844698
1996_OK,OK,1996,3185234,3195426,4600,50387,46526,49065,36113,0,0,620695
1996_OR,OR,1996,3375710,3509765,878,39829,41373,42862,34794,0,0,537854
1996_PA,PA,1996,14671368,15048791,3005,133608,136710,136746,114183,0,0,1804256
1996_RI,RI,1996,1135192,1092459,666,11366,11829,11104,8428,0,0,151324
1996_SC,SC,1996,3594408,3493720,8408,47374,50598,50625,35546,0,0,652816
1996_SD,SD,1996,710728,689818,1192,10284,10668,11377,9552,0,0,143331
1996_TN,TN,1996,4123018,4284181,11653,74529,67330,66465,50332,0,0,904818
1996_TX,TX,1996,22241369,22401797,133303,285002,294431,290666,195075,0,0,3828975
1996_UT,UT,1996,2035726,2150719,3784,34882,34227,36860,34795,0,0,481812
1996_VT,VT,1996,965238,975817,1404,7530,8152,8374,6622,0,0,106341
1996_VA,VA,1996,6674519,6903384,3917,86542,82571,80842,64497,0,0,1096093
1996_WA,WA,1996,6354593,6578388,5353,73577,74697,76033,62235,0,0,974504
1996_WV,WV,1996,1958647,1936848,4433,22485,21944,24150,21215,0,0,304052
1996_WI,WI,1996,6342623,6521058,19790,62455,64670,66488,60542,0,0,879259
1996_WY,WY,1996,664057,676305,0,6782,7283,8270,7129,0,0,99058
1997_AL,AL,1997,3981788,3963624,9886,58326,57431,58210,44272,472847,208148,749207
1997_AK,AK,1997,1131950,1237103,2183,10249,10473,9954,7771,83217,36474,132123
1997_AZ,AZ,1997,4343262,4432360,4674,63857,65170,60138,44259,522450,217764,814113
1997_AR,AR,1997,2355859,2379496,1672,35761,34067,36229,29204,282911,133449,456497
1997_CA,CA,1997,35614934,33862281,76584,463684,451069,412604,317595,3591033,1578929,5803887
1997_CO,CO,1997,4133275,4398196,12861,51408,53023,52632,39263,429624,192259,687167
1997_CT,CT,1997,4788489,4642835,9680,42382,43175,39089,29660,340533,140872,535164
1997_DE,DE,1997,898926,889631,572,8039,8758,8905,6741,70161,33188,111960
1997_DC,DC,1997,711625,686059,5156,6982,5357,4376,2961,45470,15896,77111
1997_FL,FL,1997,14363709,14564750,54044,174874,180873,173913,108366,1451398,613761,2294077
1997_GA,GA,1997,8248199,8483477,29357,111081,108023,103107,69355,870113,365429,1375980
1997_HI,HI,1997,1213792,1241375,606,15473,15127,13829,10266,120253,53448,189887
1997_ID,ID,1997,1200186,1293705,2109,17499,18527,19696,17020,149216,75579,244403
1997_IL,IL,1997,13929105,13920593,55835,153934,146478,145853,129084,1225615,558129,1998289
1997_IN,IN,1997,7885141,7325086,5521,72989,75303,75575,64829,611905,291854,986836
1997_IA,IA,1997,3406582,3485339,4757,36486,34950,37631,36808,290135,155528,501054
1997_KS,KS,1997,3029537,2949608,5373,32274,35172,36832,30922,287426,140182,468687
1997_KY,KY,1997,3842885,3903139,22065,48324,47241,50385,40153,397019,192093,669322
1997_LA,LA,1997,4106095,4027228,15442,60679,57485,55957,41527,474287,207966,776813
1997_ME,ME,1997,1537085,1527663,969,15543,16834,17218,12820,135272,58543,212579
1997_MD,MD,1997,6040883,6217120,19739,60385,64763,60010,46532,514894,221995,830744
1997_MA,MA,1997,7585624,7479407,18226,73125,75586,69388,54354,600322,252519,949006
1997_MI,MI,1997,13759710,14235902,22468,133202,123229,119473,92690,1015901,441403,1702717
1997_MN,MN,1997,6304977,6890773,8945,62126,63494,66529,63727,516654,265896,853621
1997_MS,MS,1997,2274700,2319324,1289,39378,38266,38455,26788,314687,133301,504792
1997_MO,MO,1997,5550134,5527705,16384,71575,67790,68190,55673,554625,258082,910613
1997_MT,MT,1997,989991,972059,484,11553,12165,13035,11301,99668,50288,162335
1997_NE,NE,1997,1994021,1946725,4514,21436,21168,23190,20912,175734,90997,292681
1997_NV,NV,1997,1701290,1905940,1902,23809,23936,21910,15782,192460,77801,296621
1997_NH,NH,1997,1339186,1431472,1577,8763,16688,15967,11656,134206,56301,201629
1997_NJ,NJ,1997,12910890,13242022,10220,92171,94806,83985,68008,750044,306327,1250276
1997_NM,NM,1997,1768148,1826524,4131,24346,25521,25525,18080,207116,96080,331673
1997_NY,NY,1997,26775074,28227561,32086,206548,210379,197148,146818,1691688,776218,2861823
1997_NC,NC,1997,6827952,7007690,8195,102951,98688,93033,62552,795088,329647,1236083
1997_ND,ND,1997,683331,679692,713,8373,8678,9555,8815,71244,38242,118572
1997_OH,OH,1997,12630491,12421963,20795,137372,138301,138635,120070,1133235,547865,1847114
1997_OK,OK,1997,3413742,3390894,2494,54203,46397,48030,37568,385735,177929,623681
1997_OR,OR,1997,3477420,3792572,781,38976,41710,42466,34419,339531,159559,541346
1997_PA,PA,1997,15184431,15777276,2979,129198,138585,135882,117432,1118311,535069,1815151
1997_RI,RI,1997,1185534,1175638,629,11397,12083,11272,8633,96551,41373,153321
1997_SC,SC,1997,3874045,3921465,8699,46748,51992,50775,36576,417234,186592,659273
1997_SD,SD,1997,747462,711052,924,10465,10375,11370,9939,86013,44300,142443
1997_TN,TN,1997,4390879,4695409,11784,74912,67196,64518,48881,551780,239659,893044
